    ,query                                                                         ,api
243 ,How do I use String.format to display value with leading space                ,"NumberFormat,DecimalFormat"
244 ,How to print out all substrings of a string                                   ,"VBox,HBox,TextArea,Stage,Application,Label,PrinterJob,Button,Scene"
245 ,How to get an integer at a specified position in a string of integers         ,"ImageIcon,ImageIO,Graphics2D,BufferedImage,AlphaComposite,List,JLabel,JFrame,ArrayList"
246 ,How do I check if a string contains keywords                                  ,"DateFormat,MessageFormat,Locale,SimpleDateFormat"
247 ,Copy a file to clipboard                                                      ,"FormData,Clipboard,TextTransfer,FileInputStream,FileOutputStream"
248 ,Math.random generates same number                                             ,"IntStream,Timer,HashMap,Runnable,Random,Map,SecureRandom"
249 ,Execute commands in CMD on Windows with Java code                             ,"Runtime,Process"
250 ,Generating a random integer with non-uniform distribution                     ,"IntStream,SecureRandom"
251 ,How do I check if an int is a decimal                                         ,"DateFormat,BufferedWriter,SimpleDateFormat,BufferedReader"
252 ,How can I print the elements of 3 different String Arrays in a certain order  ,"Arrays,List,Collections"
253 ,Error of connection to the MS SQL server                                      ,"Connection,XMLReaderFactory,XMLReader,DriverManager,DefaultHandler"
254 ,How to update a string on each iteration of for loop                          ,"StringCharacterIterator,CharacterIterator,StringBuilder,MessageDigest"
255 ,Java String to Date                                                           ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat,TimeZone"
256 ,How do you split a word in Java                                               ,"Signature,SignedObject,KeyPairGenerator,String,Locale,KeyPair,BreakIterator"
257 ,How do I call a variable in another method                                    ,"Invocable,ScriptEngine,ArrayUtils,ScriptEngineManager"
258 ,SED Command not executing through JAVA code                                   ,"Runtime,Process"
259 ,Issue connecting to SQL Server 2012 with JDBC                                 ,"DriverManager,Connection"
260 ,How can I convert a char to int in Java                                       ,"DateFormat,Date,BufferedReader,BufferedWriter,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
261 ,Calling method in an element of a object array                                ,"Signature,InvocationTargetException,IllegalAccessException,SignedObject,KeyPairGenerator,Object,KeyPair,Class,Method"
262 ,Load resource in a jar file Java Spring                                       ,"Enumeration,ResourceBundle"
263 ,Writing a method to return the string inside an object in Java                ,"ObjectOutputStream,CallableStatement,Connection,Serializable,DriverManager,FileOutputStream,ResultSet"
264 ,Date changing from one format to another format                               ,"FileInputStream,FileOutputStream,FileWriter,BufferedImage,IOException,Scanner,FileReader"
265 ,How do i reverse each character in a string                                   ,"CharacterIterator,Arrays,List,StringCharacterIterator,Collections"
266 ,How to connect to mysql through jdbc                                          ,"Connection,PreparedStatement,DriverManager"
267 ,Append String Array to a single string                                        ,"BufferedOutputStream,FileOutputStream,PrintStream,File"
268 ,How i convert String to int                                                   ,"DateFormat,Date,BufferedReader,BufferedWriter,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
269 ,How do we convert the string in to int array in Java                          ,"DateFormat,Date,BufferedReader,BufferedWriter,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
270 ,Java ArrayList to Javascript Array                                            ,"ScriptEngine,ScriptEngineManager,FileReader"
271 ,How to replace a number from a text which is not appended to a string         ,"Transformer,BufferedOutputStream,FileOutputStream,Document,PrintStream,StringWriter,TransformerFactory,File,DocumentBuilderFactory,Element"
272 ,Array with random integers                                                    ,"IntStream,Timer,HashMap,Runnable,Random,Map,SecureRandom"
273 ,How do I check if a string is in this format MM-YY in Java                    ,"DateFormat,IOException,Scanner,FileReader,SimpleDateFormat,FileWriter"
274 ,Java issue within connection to Microsoft SQL Server                          ,"DriverManager,Connection"
275 ,How do you convert a string to type integer and type double from user inputs  ,"DateFormat,Date,IntStream,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat,SecureRandom"
276 ,how do I make a java program to check if there is a vowel in a string         ,"DateFormat,BufferedImage,AffineTransformOp,AffineTransform,ImageIO,SimpleDateFormat"
277 ,java random number generator without arrays                                   ,"IntStream,Timer,HashMap,Runnable,Random,Map,SecureRandom"
278 ,How do I convert from ASCII to String                                         ,"DateFormat,Date,DateTimeFormatter,LocalDate,Calendar,SimpleDateFormat"
279 ,Generate random integer in range multiple of another integer in Java          ,"IntStream,SecureRandom"
280 ,How do I create a BLOB object by Java without connection to database          ,"ServerAddress,DriverManager,Connection,BasicDBObject,MongoClient,DBCollection,Properties"
281 ,How to change number length format                                            ,"DecimalFormat,Locale,DecimalFormatSymbols"
282 ,How to read integers on file with java using Buffered Reader                  ,"FileSystem,BufferedReader,BufferedWriter,FileSystemProvider"
